id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
3344,4957.0,38.90145,-77.02679,,,4.0,2.0,1.0,3.0,$150.00,59.0,370.0,27.0,57.0,87.0,362.0,10.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.05,0.0,0.0,1.0,2.0,0.0,59.0,370.0,Entire condo,"Washington, DC",,f,f,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire condo,Entire home/apt,09/05/2009,31/08/2016,f,t
4197,5061.0,38.88719,-76.99472,100%,97%,2.0,1.0,1.5,1.0,$128.00,6.0,29.0,11.0,41.0,71.0,346.0,67.0,6.0,1.0,4.88,4.98,4.89,5.0,4.98,4.97,4.94,2.0,0.0,2.0,0.34,72.0,9216.0,1.0,2.0,0.0,4.0,1125.0,Private room in home,"Washington D.C., DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Private room in home,Private room,14/05/2009,20/05/2025,f,t
4529,5803.0,38.90585,-76.94469,,,4.0,2.0,,,,30.0,1125.0,0.0,0.0,0.0,63.0,102.0,0.0,0.0,4.66,4.8,4.6,4.93,4.93,4.51,4.83,2.0,0.0,2.0,0.53,0.0,,,2.0,0.0,30.0,1125.0,Private room in home,"Washington, DC",,f,t,"Eastland Gardens, Kenilworth",Private room in home,Private room,08/08/2009,05/07/2019,f,t
13744,53927.0,38.92836,-77.03136,100%,0%,3.0,2.0,1.0,2.0,$125.00,30.0,90.0,0.0,15.0,45.0,225.0,38.0,0.0,0.0,4.84,4.92,4.84,5.0,4.97,4.76,4.84,1.0,1.0,0.0,0.21,0.0,0.0,1.0,1.0,0.0,30.0,1125.0,Entire rental unit,"Washington, DC",within a day,f,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,11/04/2010,14/11/2023,f,t
62122,301975.0,38.92238,-77.04709,100%,96%,1.0,3.0,1.0,2.0,$84.00,5.0,150.0,7.0,11.0,16.0,140.0,167.0,29.0,3.0,4.86,4.85,4.66,4.89,4.91,4.95,4.87,1.0,1.0,0.0,1.07,255.0,21420.0,2.0,1.0,0.0,4.9,150.0,Entire townhouse,"Washington D.C., DC",within a few hours,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire townhouse,Entire home/apt,31/08/2012,01/06/2025,f,t
150109,723470.0,38.91525,-77.04001,,0%,1.0,2.0,,,,31.0,365.0,14.0,38.0,38.0,70.0,30.0,0.0,0.0,4.83,4.9,4.69,5.0,4.97,4.97,4.76,1.0,1.0,0.0,0.18,0.0,,1.0,1.0,0.0,31.0,365.0,Entire rental unit,"Washington, DC",,f,t,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,04/11/2011,01/03/2022,f,t
153545,738459.0,38.94286,-77.04417,100%,99%,6.0,1.0,2.0,1.0,$67.00,30.0,1120.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,4.67,4.76,4.54,4.92,4.83,4.62,4.65,4.0,3.0,1.0,0.24,60.0,4020.0,1.0,5.0,0.0,30.0,1120.0,Private room in home,"Washington D.C., DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Private room in home,Private room,15/09/2011,13/12/2024,f,t
155859,745305.0,38.96628,-77.0309,100%,0%,2.0,1.0,,,,31.0,62.0,0.0,0.0,26.0,86.0,129.0,0.0,0.0,4.87,4.84,4.81,4.92,4.96,4.71,4.87,2.0,1.0,1.0,0.76,0.0,,,2.0,0.0,31.0,1125.0,Private room in home,"Washington D.C., DC",within an hour,f,t,"Takoma, Brightwood, Manor Park",Private room in home,Private room,25/07/2011,28/10/2019,f,t
174808,835242.0,38.86432,-76.98749,100%,71%,4.0,2.0,1.0,1.0,$95.00,2.0,20.0,23.0,50.0,80.0,170.0,93.0,6.0,2.0,4.95,4.87,4.96,4.91,4.98,4.67,4.91,1.0,0.0,1.0,0.83,36.0,3420.0,1.0,1.0,0.0,2.0,20.0,Private room in home,"Washington, DC",within a day,t,f,Historic Anacostia,Private room in home,Private room,11/04/2016,14/06/2025,f,t
198685,966613.0,38.93395,-77.01625,100%,80%,5.0,2.0,1.5,1.0,$59.00,31.0,365.0,3.0,3.0,33.0,213.0,162.0,5.0,0.0,4.74,4.8,4.54,4.79,4.83,4.48,4.69,1.0,0.0,1.0,0.96,255.0,15045.0,1.0,1.0,0.0,31.0,365.0,Private room in townhouse,"Washington, DC",within an hour,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room in townhouse,Private room,03/09/2011,03/05/2025,f,t
223922,738459.0,38.94482,-77.04437,100%,99%,6.0,3.0,1.5,2.0,$130.00,1.0,1125.0,9.0,21.0,36.0,311.0,230.0,22.0,2.0,4.76,4.76,4.75,4.93,4.9,4.78,4.73,4.0,3.0,1.0,1.38,132.0,17160.0,1.0,5.0,0.0,1.0,1125.0,Entire home,"Washington D.C., DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire home,Entire home/apt,25/09/2011,01/06/2025,t,t
290001,1505235.0,38.91001,-77.02563,100%,94%,1.0,2.0,1.0,1.0,$201.00,2.0,14.0,5.0,35.0,53.0,120.0,199.0,19.0,1.0,4.85,4.88,4.85,4.99,4.98,4.91,4.81,1.0,1.0,0.0,1.23,114.0,22914.0,1.0,1.0,0.0,2.0,14.0,Entire townhouse,"Washington, DC",within a few hours,t,t,"Shaw, Logan Circle",Entire townhouse,Entire home/apt,17/03/2012,09/06/2025,f,t
296196,1528235.0,38.9146,-77.03602,100%,100%,1.0,4.0,1.0,2.0,$128.00,3.0,30.0,4.0,10.0,11.0,226.0,114.0,25.0,2.0,4.91,4.93,4.85,4.98,4.98,4.96,4.93,1.0,1.0,0.0,0.7,150.0,19200.0,1.0,1.0,0.0,3.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,f,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,22/02/2012,15/06/2025,t,t
299030,1541062.0,38.9806,-77.03084,100%,76%,4.0,2.0,1.0,2.0,$86.00,1.0,90.0,20.0,26.0,56.0,331.0,57.0,15.0,1.0,4.87,4.96,4.84,4.95,4.95,4.88,4.88,3.0,1.0,2.0,0.36,90.0,7740.0,1.0,3.0,0.0,1.0,90.0,Private room in home,"Washington, DC",within an hour,t,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,09/05/2012,08/06/2025,f,t
303723,1563230.0,38.91611,-77.02662,100%,100%,2.0,2.0,,,,2.0,180.0,22.0,52.0,82.0,98.0,178.0,9.0,5.0,4.79,4.89,4.81,4.96,4.97,4.95,4.77,1.0,1.0,0.0,1.45,54.0,,1.0,1.0,0.0,2.0,180.0,Entire guest suite,"Washington, DC",within an hour,f,t,"Howard University, Le Droit Park, Cardozo/Shaw",Entire guest suite,Entire home/apt,24/05/2015,15/06/2025,f,t
313405,1541062.0,38.9793,-77.0283,100%,76%,4.0,2.0,1.0,1.0,$88.00,1.0,180.0,29.0,59.0,89.0,364.0,61.0,17.0,1.0,4.88,4.92,4.87,4.98,4.93,4.87,4.9,3.0,1.0,2.0,0.38,102.0,8976.0,1.0,3.0,0.0,1.0,180.0,Private room in home,"Washington, DC",within an hour,t,f,"Colonial Village, Shepherd Park, North Portal Estates",Private room in home,Private room,22/04/2012,13/06/2025,f,t
355527,1096793.0,38.88408,-77.0035,100%,80%,4.0,3.0,1.0,1.0,$205.00,2.0,25.0,4.0,28.0,56.0,223.0,156.0,5.0,0.0,4.8,4.82,4.86,4.89,4.82,4.91,4.71,1.0,1.0,0.0,0.96,30.0,6150.0,1.0,1.0,0.0,2.0,25.0,Entire rental unit,"Washington, DC",within an hour,f,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,01/03/2012,24/03/2025,f,t
382111,1907809.0,38.89099,-76.99458,100%,88%,3.0,4.0,1.0,1.0,$174.00,3.0,29.0,0.0,4.0,34.0,67.0,284.0,6.0,0.0,4.8,4.88,4.89,4.97,4.98,4.95,4.75,1.0,1.0,0.0,1.77,36.0,6264.0,1.0,2.0,0.0,3.0,29.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,07/04/2012,28/04/2025,f,t
453159,40168.0,38.87772,-76.985,100%,98%,2.0,5.0,2.0,3.0,$139.00,3.0,1125.0,7.0,12.0,38.0,210.0,466.0,46.0,2.0,4.93,4.95,4.96,4.95,4.96,4.84,4.9,1.0,1.0,0.0,2.96,255.0,35445.0,2.0,1.0,0.0,3.0,1125.0,Entire guest suite,"Washington D.C., DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire guest suite,Entire home/apt,09/07/2012,30/05/2025,f,t
525672,2583808.0,38.88183,-76.98911,100%,96%,7.0,4.0,1.0,2.0,$142.00,2.0,90.0,8.0,8.0,31.0,299.0,278.0,11.0,0.0,4.86,4.91,4.91,4.91,4.88,4.68,4.81,2.0,2.0,0.0,1.77,66.0,9372.0,1.0,7.0,0.0,6.2,90.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,13/07/2012,30/03/2025,f,t
538598,2645588.0,38.89881,-76.99578,,100%,1.0,4.0,,,,30.0,1124.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,4.75,5.0,4.75,5.0,4.92,4.92,4.92,1.0,1.0,0.0,0.11,60.0,,2.0,1.0,0.0,30.0,1124.0,Entire home,"Washington, DC",,f,t,"Union Station, Stanton Park, Kingman Park",Entire home,Entire home/apt,26/03/2016,21/01/2025,f,t
563607,2771266.0,38.91564,-77.03796,100%,100%,2.0,2.0,1.0,1.0,$101.00,1.0,1125.0,20.0,39.0,62.0,242.0,201.0,37.0,5.0,4.81,4.86,4.71,4.92,4.96,4.95,4.76,2.0,2.0,0.0,1.84,222.0,22422.0,0.0,2.0,0.0,1.3,1125.0,Entire rental unit,,within an hour,t,t,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,03/07/2016,12/06/2025,t,t
723716,3138065.0,38.93605,-77.04289,100%,68%,3.0,1.0,1.0,1.0,$61.00,5.0,15.0,0.0,7.0,13.0,65.0,56.0,10.0,2.0,4.66,4.78,4.69,4.89,4.91,4.78,4.75,3.0,3.0,0.0,0.46,100.0,6100.0,0.0,3.0,0.0,3.0,15.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,05/07/2015,06/06/2025,f,t
800076,3885360.0,38.91646194,-77.03011322,100%,100%,2.0,2.0,1.0,1.0,$139.00,1.0,1125.0,25.0,55.0,85.0,328.0,252.0,13.0,2.0,4.79,4.82,4.94,4.89,4.91,4.9,4.69,1.0,1.0,0.0,1.69,78.0,10842.0,0.0,1.0,0.0,1.2,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Entire rental unit,Entire home/apt,10/03/2013,14/06/2025,f,t
