id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
3344,4957,38.90145,-77.02679,100,98,4,2,1,3,150,59,370,27,57,87,362,10,0,0,5,5,5,5,5,5,5,2,2,0,0.05,0,0,1,2,0,59,370,Entire condo,"Washington, DC",within an hour,f,f,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Entire condo,Entire home/apt,05/09/2009,31/08/2016,f,t
3686,4645,38.86339,-76.98889,90,0,4,1,1,2,60,31,365,0,0,23,298,84,0,0,4.64,4.73,4.45,4.91,4.84,3.91,4.64,1,0,1,0.47,0,0,1,1,0,31,365,Private room in home,"Washington D.C., DC",within a few hours,f,t,Historic Anacostia,Private room in home,Private room,11/01/2010,30/08/2023,f,t
3943,5059,38.91195,-77.00456,100,94,5,2,1,1,79,1,1125,5,26,56,331,546,41,2,4.86,4.89,4.93,4.94,4.92,4.61,4.77,5,0,5,2.78,246,19434,1,5,0,1,1125,Private room in townhouse,"Washington, DC",within an hour,t,t,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room in townhouse,Private room,05/10/2009,27/05/2025,f,t
4197,5061,38.88719,-76.99472,100,97,2,1,1.5,1,128,6,29,11,41,71,346,67,6,1,4.88,4.98,4.89,5,4.98,4.97,4.94,2,0,2,0.34,72,9216,1,2,0,4,1125,Private room in home,"Washington D.C., DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Private room in home,Private room,03/10/2019,20/05/2025,f,t
4529,5803,38.90585,-76.94469,100,98,4,2,1,1,119,30,1125,0,0,0,63,102,0,0,4.66,4.8,4.6,4.93,4.93,4.51,4.83,2,0,2,0.53,0,12338,1,2,0,30,1125,Private room in home,"Washington, DC",within an hour,f,t,"Eastland Gardens, Kenilworth",Private room in home,Private room,08/08/2009,05/07/2019,f,t
5589,6527,38.91887,-77.04008,100,0,4,3,1,1,87,50,90,0,13,43,133,96,0,0,4.5,4.71,4.13,4.82,4.82,4.91,4.44,1,1,0,0.5,0,0,1,2,0,31,90,Entire rental unit,"Washington D.C., DC",within an hour,f,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire rental unit,Entire home/apt,03/10/2019,17/08/2023,f,t
7103,17633,38.91999,-77.09774,100,100,108,2,1,2,74,31,1125,0,14,44,319,91,0,0,4.79,4.77,4.87,4.94,4.9,4.79,4.81,22,22,0,0.49,0,0,1,25,0,31,764,Entire guest suite,"Washington, DC",within an hour,t,t,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Entire guest suite,Entire home/apt,03/10/2019,03/06/2022,f,t
11785,32015,38.92622,-77.07591,100,100,6,4,1,3,90,31,730,0,0,20,269,416,2,1,4.59,4.65,4.6,4.87,4.88,4.83,4.58,4,1,3,2.21,124,11160,1,4,0,31,730,Entire rental unit,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Entire rental unit,Entire home/apt,01/12/2010,31/05/2025,f,t
12442,32015,38.92756,-77.07667,100,100,6,2,1.5,1,52,31,365,0,0,28,303,120,2,0,4.62,4.73,4.69,4.86,4.85,4.81,4.58,4,1,3,0.65,124,6448,1,4,0,31,1125,Private room in home,"Reddick, FL",within an hour,t,t,"Cathedral Heights, McLean Gardens, Glover Park",Private room in home,Private room,03/12/2010,20/12/2024,t,t
13744,53927,38.92836,-77.03136,100,0,3,2,1,2,125,30,90,0,15,45,225,38,0,0,4.84,4.92,4.84,5,4.97,4.76,4.84,1,1,0,0.21,0,0,1,1,0,30,1125,Entire rental unit,"Washington, DC",within a day,f,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,04/11/2010,14/11/2023,f,t
